City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
280,Parsons,US,2020-09-15 02:43:13,37.34,-95.26,69.8,82,1,3.36
281,Dickinson,US,2020-09-15 02:43:14,29.46,-95.05,86.0,66,40,11.41
282,Coahuayana,MX,2020-09-15 02:43:14,18.73,-103.68,77.0,83,75,0.54
283,Salamiyah,SY,2020-09-15 02:43:14,35.01,37.05,64.38,73,0,3.22
284,Puerto Rico,AR,2020-09-15 02:43:15,-26.8,-55.02,60.39,72,100,3.13
285,Mizan Teferi,ET,2020-09-15 02:43:15,6.98,35.58,62.15,79,56,2.33
286,Lewistown,US,2020-09-15 02:43:15,40.6,-77.57,57.2,67,1,9.17
287,Okha,RU,2020-09-15 02:43:16,53.57,142.95,70.27,60,87,11.59
288,Marzuq,YE,2020-09-15 02:43:16,14.4,46.47,77.94,26,10,2.73
289,Butterworth,MY,2020-09-15 02:43:16,5.4,100.36,78.8,88,20,2.24
290,Tarauaca,BR,2020-09-15 02:43:17,-8.16,-70.77,73.62,95,71,0.87
291,Deputatskiy,RU,2020-09-15 02:43:17,69.3,139.9,45.79,62,5,8.46
292,Kalmunai,LK,2020-09-15 02:43:17,7.42,81.82,84.67,65,79,3.78
293,Shelburne,CA,2020-09-15 02:43:17,44.08,-80.2,44.01,80,1,4.7
294,Lorengau,PG,2020-09-15 02:43:18,-2.02,147.27,83.95,79,97,12.1
295,Mitchelstown,IE,2020-09-15 02:43:18,52.27,-8.27,61.0,91,100,4.0
296,Mae Chan,TH,2020-09-15 02:43:18,20.15,99.85,81.0,94,75,6.93
297,Crawfordsville,US,2020-09-15 02:43:19,40.04,-86.87,62.01,77,1,5.82
298,Santa Isabel Do Rio Negro,BR,2020-09-15 02:43:19,-0.41,-65.02,71.94,97,100,1.59
299,Launceston,AU,2020-09-15 02:43:20,-41.45,147.17,61.0,58,75,19.46
300,Derzhavinsk,KZ,2020-09-15 02:43:20,51.1,66.32,60.44,43,100,14.9
301,Sistranda,NO,2020-09-15 02:43:20,63.73,8.83,46.4,93,75,5.82
302,Marawi,PH,2020-09-15 02:43:20,8.0,124.29,84.99,71,100,5.01
303,Komsomolskiy,UZ,2020-09-15 02:43:21,40.43,71.72,68.0,30,0,9.17
304,Tigzirt,DZ,2020-09-15 02:43:21,36.89,4.12,74.57,65,5,6.2
